*** [46297] start a is 256000000000012
*** [46297] end a is 263428571428583
+++ [46297] Checked [256000000000012] to [256000397727406]
*** [46297] [1450107000] working on: 256000397727406 tried: 397727394 rate: 3615703 / sec
*** [46297] time left: 3 wk 2 d 18 h 30 m 40 s
+++ [46297] Checked [256000000000012] to [256003880805368]
*** [46297] [1450107900] working on: 256003880805368 tried: 3483077962 rate: 3870086 / sec
*** [46297] time left: 3 wk 1 d 4 h 52 m 54 s
+++ [46297] Checked [256000000000012] to [256007392958120]
*** [46297] [1450108800] working on: 256007392958120 tried: 3512152752 rate: 3902391 / sec
*** [46297] time left: 3 wk 1 d 0 h 48 m 15 s
+++ [46297] Checked [256000000000012] to [256010900948310]
*** [46297] [1450109700] working on: 256010900948310 tried: 3507990190 rate: 3897766 / sec
*** [46297] time left: 3 wk 1 d 0 h 48 m 37 s
+++ [46297] Checked [256000000000012] to [256014371655738]
*** [46297] [1450110600] working on: 256014371655738 tried: 3470707428 rate: 3856341 / sec
*** [46297] time left: 3 wk 1 d 6 h 54 m 3 s
+++ [46297] Checked [256000000000012] to [256017833547336]
*** [46297] [1450111500] working on: 256017833547336 tried: 3461891598 rate: 3846546 / sec
*** [46297] time left: 3 wk 1 d 7 h 55 m 9 s
+++ [46297] Checked [256000000000012] to [256021333653232]
*** [46297] [1450112400] working on: 256021333653232 tried: 3500105896 rate: 3889006 / sec
*** [46297] time left: 3 wk 1 d 1 h 49 m 4 s
+++ [46297] Checked [256000000000012] to [256024742064078]
*** [46297] [1450113300] working on: 256024742064078 tried: 3408410846 rate: 3787123 / sec
*** [46297] time left: 3 wk 1 d 15 h 3 m 3 s
+++ [46297] Checked [256000000000012] to [256028097301882]
*** [46297] [1450114200] working on: 256028097301882 tried: 3355237804 rate: 3728042 / sec
*** [46297] time left: 3 wk 1 d 23 h 11 m 24 s
+++ [46297] Checked [256000000000012] to [256031575100344]
*** [46297] [1450115100] working on: 256031575100344 tried: 3477798462 rate: 3864220 / sec
*** [46297] time left: 3 wk 1 d 3 h 51 m 43 s
+++ [46297] Checked [256000000000012] to [256035036694490]
*** [46297] [1450116000] working on: 256035036694490 tried: 3461594146 rate: 3846215 / sec
*** [46297] time left: 3 wk 1 d 5 h 53 m 58 s
+++ [46297] Checked [256000000000012] to [256038553303990]
*** [46297] [1450116900] working on: 256038553303990 tried: 3516609500 rate: 3907343 / sec
*** [46297] time left: 3 wk 0 d 21 h 45 m 21 s
+++ [46297] Checked [256000000000012] to [256042276385430]
*** [46297] [1450117800] working on: 256042276385430 tried: 3723081440 rate: 4136757 / sec
*** [46297] time left: 2 wk 6 d 15 h 15 m 58 s
+++ [46297] Checked [256000000000012] to [256045857156492]
*** [46297] [1450118700] working on: 256045857156492 tried: 3580771062 rate: 3978634 / sec
*** [46297] time left: 3 wk 0 d 11 h 35 m 26 s
+++ [46297] Checked [256000000000012] to [256049355716602]
*** [46297] [1450119600] working on: 256049355716602 tried: 3498560110 rate: 3887289 / sec
*** [46297] time left: 3 wk 0 d 23 h 47 m 18 s
+++ [46297] Checked [256000000000012] to [256052930703770]
*** [46297] [1450120500] working on: 256052930703770 tried: 3574987168 rate: 3972207 / sec
*** [46297] time left: 3 wk 0 d 11 h 35 m 46 s
+++ [46297] Checked [256000000000012] to [256056510057054]
*** [46297] [1450121400] working on: 256056510057054 tried: 3579353284 rate: 3977059 / sec
*** [46297] time left: 3 wk 0 d 10 h 34 m 54 s
+++ [46297] Checked [256000000000012] to [256060016449716]
*** [46297] [1450122300] working on: 256060016449716 tried: 3506392662 rate: 3895991 / sec
